% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.732462539e+007 +4.732462539e+007 +4.732470166e+007 +4.732470166e+007 +4.1591e+000 -3.1078e+000 -3.3270e+000 -1.0946e+000 +8.4657e-001 +3.1612e+000 +1.7676e+000 +7.4399e-001 +1.1597e+000 -2.0569e+000 +2.2081e+000 +3.5525e+000 +1.2118e+000 +3.4946e+000 +5.3197e-001 -1.1926e-001 +2.1031e+000 -1.6797e+000 -1.0354e-002 -9.0102e-001
2 +2.302626660e+006 +2.302626660e+006 +2.302702930e+006 +2.302702930e+006 -3.0403e+000 +3.8739e+000 +2.7919e+000 +1.4439e-001 -2.1530e+000 +1.0127e+000 +2.9888e+000 +2.5138e+000 +2.9773e+000 -1.4154e+000 +4.7572e+000 +3.4952e+000 +3.3862e-002 +4.2392e+000 +4.0169e+000 +4.0816e+000 -4.4655e+000 +2.3142e+000 -3.4708e+000 -2.5664e+000
4 +1.216660175e+006 +1.216660175e+006 +1.216736445e+006 +1.216736445e+006 -4.3519e+000 +1.9987e+000 -4.7045e+000 +2.8725e+000 -4.3224e-001 +1.6967e+000 +4.0368e+000 -3.5531e+000 -6.5953e-001 -1.4914e+000 +2.2564e+000 +1.1101e+000 -9.4207e-001 -1.9308e+000 -8.2236e-001 +4.3761e+000 +4.5510e+000 -4.8423e+000 +2.0482e+000 -4.6077e+000
6 +4.669197966e+005 +4.669197966e+005 +4.669960666e+005 +4.669960666e+005 +3.3603e+000 -3.9007e+000 +2.5170e+000 -1.9552e-001 -3.3771e+000 +4.9088e+000 +4.6562e-001 -4.3828e-001 +1.5755e+000 +3.4912e+000 +2.2168e+000 -3.3324e+000 +4.8125e+000 -3.5669e+000 +3.8104e+000 +2.5770e+000 +2.2550e+000 +9.5067e-001 +1.9866e+000 +4.4931e+000
43 +3.307337197e+004 +3.307337197e+004 +3.314964197e+004 +3.314964197e+004 -3.1551e+000 -3.1813e+000 -1.2381e-001 -3.1516e-001 +2.1113e+000 +2.7145e-001 -3.8151e+000 +2.2212e+000 -1.0582e+000 -1.5049e-001 -4.5854e+000 +8.0337e-001 +2.5254e+000 +2.9657e+000 +4.7150e+000 +2.0809e+000 +3.8461e-001 -4.4149e-001 -1.7149e+000 -2.8712e+000
51 +2.459150823e+004 +2.459150823e+004 +2.466777823e+004 +2.466777823e+004 +2.2618e+000 +4.3029e+000 -7.7377e-001 -3.5311e+000 +4.4318e+000 +1.6967e+000 +4.0368e+000 -3.5531e+000 -6.5953e-001 -1.4914e+000 +2.2564e+000 +1.1101e+000 -9.4207e-001 -1.9308e+000 -5.6587e-001 +4.3761e+000 +4.5510e+000 -4.8423e+000 +2.0482e+000 -4.6077e+000
95 +1.292519619e+003 +1.292519619e+003 +1.368789619e+003 +1.368789619e+003 +2.2618e+000 +4.3029e+000 -7.7377e-001 -3.5311e+000 +4.4318e+000 +1.6967e+000 +4.0368e+000 -3.5531e+000 -2.9367e+000 -1.4914e+000 +2.2564e+000 +1.1101e+000 -9.4207e-001 -1.9308e+000 -5.6587e-001 +4.3761e+000 +4.5510e+000 -4.8423e+000 +2.0482e+000 -5.6755e-001
243 +9.885459624e+002 +9.885459624e+002 +1.064815962e+003 +1.064815962e+003 +2.2618e+000 +4.3029e+000 -7.7377e-001 -3.5311e+000 +4.4318e+000 +1.6967e+000 +4.0368e+000 -3.5531e+000 -2.9367e+000 -1.4914e+000 +2.2564e+000 +1.1101e+000 -9.4207e-001 -1.9308e+000 -5.6587e-001 +4.3761e+000 +4.5510e+000 +1.0782e+000 +4.5828e+000 -7.5688e-001
436 +4.182727770e+002 +4.182727770e+002 +4.945427770e+002 +4.945427770e+002 -3.1551e+000 -3.1813e+000 -1.2381e-001 +3.0836e+000 +2.1113e+000 +2.7145e-001 -3.8151e+000 +2.2212e+000 -1.0582e+000 -1.4914e+000 +2.2168e+000 +1.1101e+000 -9.4207e-001 -1.9308e+000 -5.6587e-001 +4.3761e+000 +4.5510e+000 +1.0782e+000 +4.5828e+000 -7.5688e-001
566 +3.012156654e+002 +3.012156654e+002 +3.774856654e+002 +3.774856654e+002 +2.2618e+000 +4.3029e+000 -7.7377e-001 -3.5311e+000 +4.4318e+000 +1.6967e+000 +4.0368e+000 -3.5531e+000 -2.9367e+000 +4.7135e+000 +2.2564e+000 +1.1101e+000 -9.4207e-001 +3.2591e-001 -5.6587e-001 +4.3761e+000 +4.5510e+000 +1.0782e+000 +4.5828e+000 -4.6077e+000
966 +2.317147769e+002 +2.317147769e+002 +3.079847769e+002 +3.079847769e+002 -3.1551e+000 -3.1813e+000 -1.2381e-001 -3.1516e-001 -4.9675e+000 -4.6546e+000 -3.8062e-001 -1.1081e+000 +1.5755e+000 -1.5049e-001 +2.2168e+000 -3.3324e+000 +4.8125e+000 -3.5669e+000 -2.9575e+000 -2.2855e+000 +2.7039e+000 +1.0782e+000 +4.5828e+000 -1.2307e-001
