% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.958875995e+006 +5.958875995e+006 +5.958952265e+006 +5.958952265e+006 +4.4080e+000 +2.8296e+000 -3.3727e+000 -1.2114e+000 -4.8561e+000 +3.7594e+000 +4.7253e+000 -3.8350e+000 -4.7294e+000 -4.3383e+000 +7.8760e-001 -4.9768e+000 +1.3913e+000 -4.1450e+000 +2.8782e+000 -3.6478e+000 +1.0918e+000 +1.9841e+000 -2.1994e+000 +4.5874e+000
2 +9.314703402e+005 +9.314703402e+005 +9.315466102e+005 +9.315466102e+005 +3.0615e+000 -1.8932e+000 +1.3082e+000 +2.4474e+000 -3.4090e-001 +3.3946e+000 +8.2981e-001 +2.9903e+000 -4.8570e+000 +1.2561e+000 +2.4889e+000 +1.1184e+000 -3.1970e+000 +7.5534e-002 -4.7805e+000 +3.6764e+000 +1.3644e+000 -9.3067e-001 +3.0642e+000 -1.6875e+000
3 +4.229962775e+005 +4.229962775e+005 +4.230725475e+005 +4.230725475e+005 +4.9646e+000 +4.1282e-001 -4.9940e+000 -4.6686e+000 -4.9481e+000 +1.9360e+000 +1.0375e+000 -2.4107e+000 +3.7647e+000 -1.3763e+000 +6.7662e-001 -3.3508e+000 -1.8032e+000 -1.9364e+000 +3.3329e+000 +4.1684e+000 -2.4666e+000 +3.8923e+000 -2.4921e+000 -3.8280e+000
5 +2.126146474e+005 +2.126146474e+005 +2.126909174e+005 +2.126909174e+005 -1.6944e+000 +3.2324e+000 -3.0660e+000 +3.8649e+000 +1.8057e+000 -2.6757e+000 +2.8733e+000 +7.1954e-001 -3.1876e+000 +8.1468e-001 -4.4156e+000 +3.3651e+000 +3.6210e+000 +5.6176e-001 +3.5740e+000 -3.4573e+000 +4.9406e-001 +2.2634e-001 -1.2185e+000 -3.9985e+000
81 +4.239196999e+004 +4.239196999e+004 +4.246823999e+004 +4.246823999e+004 -2.4480e+000 -4.6084e+000 -9.9358e-002 -1.1114e+001 +8.6570e+000 -6.2818e+000 +8.2276e+000 -1.6642e+000 +4.9682e+000 +8.3341e-001 +2.9350e+000 -1.1929e+000 -6.7097e+000 +7.7758e+000 +3.9620e+000 +5.3672e+000 -8.2414e+000 +8.7396e+000 -7.4736e+000 +1.3468e+000
82 +1.055584877e+004 +1.055584877e+004 +1.063211877e+004 +1.063211877e+004 -2.4420e+000 -4.6329e+000 -1.5515e-001 -1.1132e+001 +8.6583e+000 -6.2698e+000 +8.2271e+000 -1.6660e+000 +4.9858e+000 +8.3124e-001 +2.9501e+000 -1.1459e+000 -6.6815e+000 +7.8072e+000 +3.9497e+000 +5.3622e+000 -8.2335e+000 +8.7320e+000 -7.4571e+000 +1.3611e+000
83 +1.007479213e+003 +1.007479213e+003 +1.083749213e+003 +1.083749213e+003 -2.4364e+000 -4.6558e+000 -2.0714e-001 -1.1149e+001 +8.6595e+000 -6.2586e+000 +8.2267e+000 -1.6676e+000 +5.0022e+000 +8.2922e-001 +2.9641e+000 -1.1022e+000 -6.6551e+000 +7.8365e+000 +3.9382e+000 +5.3575e+000 -8.2261e+000 +8.7249e+000 -7.4417e+000 +1.3744e+000
85 +9.256959173e+002 +9.256959173e+002 +1.001965917e+003 +1.001965917e+003 -2.4354e+000 -4.6597e+000 -2.1613e-001 -1.1152e+001 +8.6597e+000 -6.2567e+000 +8.2267e+000 -1.6679e+000 +5.0051e+000 +8.2887e-001 +2.9665e+000 -1.0946e+000 -6.6506e+000 +7.8416e+000 +3.9363e+000 +5.3567e+000 -8.2248e+000 +8.7237e+000 -7.4390e+000 +1.3767e+000
136 +6.604816595e+001 +6.604816595e+001 +1.423181659e+002 +1.423181659e+002 -4.2241e+000 -2.3614e+000 -3.3549e+000 +7.4309e-002 +3.2168e+000 -2.2286e+000 -1.4798e+000 +3.8664e-002 -2.7641e+000 +5.0796e+000 +1.1430e+000 -1.1541e+000 -3.7685e+000 +3.2185e+000 -1.6078e+000 -1.0394e+000 -1.3821e+000 -2.7556e+000 -9.2762e-001 -2.6519e+000
194 +9.624808042e+000 +9.624808042e+000 +8.589480804e+001 +8.589480804e+001 -2.0611e+000 -1.8779e+000 -2.2375e+000 +1.1542e+000 -7.8214e-001 -1.9677e+000 -1.6083e+000 +1.1872e+000 -1.9608e+000 +3.4373e+000 +1.9559e+000 -1.9500e+000 -2.9772e+000 +3.5322e+000 -2.6278e+000 -1.4707e+000 +7.8880e-001 -3.4970e+000 +2.4508e-001 -2.4455e+000
