% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.632028422e+009 +2.632028422e+009 +2.632028212e+009 +2.632028212e+009 +3.1360e+001 +4.8089e+001 +1.1354e+001 +3.6660e+001 +1.4092e+001 +2.2591e+001 +4.0209e+001 +4.6750e+001 +3.5996e+001 +2.9275e+001 +1.0194e+001 +3.8738e+001 +2.7674e+001 +1.9398e+001 +2.7221e+001 +4.7458e+001 +4.3845e+001 +4.6015e+001 +3.9530e+001 +3.2395e+001
2 +1.417108091e+009 +1.417108091e+009 +1.417107881e+009 +1.417107881e+009 +3.3923e+001 +4.8640e+001 +2.2481e+001 +1.9518e+001 +1.9167e+001 +2.1720e+001 +3.9530e+001 +1.7514e+001 +4.4218e+001 +1.6500e+001 +1.9561e+001 +4.6188e+001 +4.8399e+001 +4.7471e+001 +1.8940e+001 +1.1961e+001 +1.0908e+001 +3.7458e+001 +3.6045e+001 +2.3927e+001
4 +8.945435282e+008 +8.945435282e+008 +8.945433183e+008 +8.945433183e+008 +2.7558e+001 +4.8854e+001 +4.0213e+001 +1.7352e+001 +2.3979e+001 +2.9961e+001 +3.5982e+001 +3.4689e+001 +4.0903e+001 +3.7248e+001 +4.5769e+001 +1.4783e+001 +4.5183e+001 +2.7031e+001 +3.2583e+001 +2.9392e+001 +4.0399e+001 +1.0600e+001 +2.5026e+001 +1.3549e+001
81 +3.329087912e+008 +3.329087912e+008 +3.329085814e+008 +3.329085814e+008 +3.1360e+001 +4.8088e+001 +1.1354e+001 +3.6659e+001 +1.4091e+001 +2.2590e+001 +4.0205e+001 +4.6726e+001 +3.5982e+001 +2.9214e+001 +1.0178e+001 +3.8608e+001 +2.7108e+001 +1.8756e+001 +2.5751e+001 +3.9312e+001 +2.7144e+001 +1.9364e+001 -9.6141e+000 +1.1787e+000
143 +1.340814194e+008 +1.340814194e+008 +1.340812095e+008 +1.340812095e+008 +3.1359e+001 +4.8087e+001 +1.1354e+001 +3.6659e+001 +1.4089e+001 +2.2585e+001 +4.0191e+001 +4.6644e+001 +3.5933e+001 +2.9007e+001 +1.0123e+001 +3.8183e+001 +2.5307e+001 +1.7008e+001 +1.8774e+001 +1.7085e+001 +1.7289e+001 +1.2615e+001 +3.1634e+000 -2.8289e+000
204 +6.677486550e+007 +6.677486550e+007 +6.677465562e+007 +6.677465562e+007 +3.1359e+001 +4.8086e+001 +1.1353e+001 +3.6658e+001 +1.4086e+001 +2.2581e+001 +4.0177e+001 +4.6565e+001 +3.5886e+001 +2.8801e+001 +1.0070e+001 +3.7780e+001 +2.3739e+001 +1.5669e+001 +1.3099e+001 +4.1905e-001 +6.6558e+000 +6.2606e+000 +4.8290e+000 +5.1162e+000
263 +6.094787443e+007 +6.094787443e+007 +6.094766455e+007 +6.094766455e+007 +3.1359e+001 +4.8085e+001 +1.1353e+001 +3.6658e+001 +1.4083e+001 +2.2576e+001 +4.0163e+001 +4.6479e+001 +3.5836e+001 +2.8572e+001 +1.0017e+001 +3.7418e+001 +2.2960e+001 +1.5416e+001 +1.0645e+001 -1.3139e+000 +4.9580e+000 +1.1242e+001 +3.3224e+000 +4.5062e+000
3188 +3.969133975e+007 +3.969133975e+007 +3.969112987e+007 +3.969112987e+007 +4.1007e+001 +4.0314e+001 +4.9042e+001 +1.5003e+001 +2.8984e+001 +1.0927e+001 +4.7161e+001 +3.4759e+001 +1.6244e+001 +3.6248e+001 +9.5024e+000 +2.9675e+001 +5.3619e+000 -9.8913e+000 +1.2974e+001 -4.2067e+000 -6.9970e+000 -3.2383e+000 -3.7598e+000 +6.0298e+000
8262 +1.919591752e+007 +1.919591752e+007 +1.919570764e+007 +1.919570764e+007 +3.1359e+001 +4.8081e+001 +1.1353e+001 +3.6655e+001 +1.4072e+001 +2.2559e+001 +4.0114e+001 +4.6188e+001 +3.5667e+001 +2.7766e+001 +9.8434e+000 +3.6337e+001 +2.1385e+001 +1.5038e+001 +6.8817e+000 -9.6833e-001 +6.2799e-001 +6.5829e+000 -3.1989e+000 +5.2668e-001
8322 +1.496865699e+007 +1.496865699e+007 +1.496844711e+007 +1.496844711e+007 +3.1359e+001 +4.8080e+001 +1.1353e+001 +3.6655e+001 +1.4069e+001 +2.2555e+001 +4.0102e+001 +4.6117e+001 +3.5628e+001 +2.7561e+001 +9.8048e+000 +3.6136e+001 +2.1258e+001 +1.4847e+001 +6.2576e+000 -1.6104e+000 -1.4855e+000 +1.6800e+000 -2.5381e+000 +5.6778e-001
