% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.243895060e+009 +1.243895060e+009 +1.243894850e+009 +1.243894850e+009 +1.2098e+001 +3.8891e+001 +3.8935e+001 +1.8318e+001 +3.9316e+001
2 +2.883732175e+008 +2.883732175e+008 +2.883730076e+008 +2.883730076e+008 +3.7296e+001 +3.5515e+001 +2.2793e+001 +2.5225e+001 +1.7886e+001
49 +1.246504083e+007 +1.246504083e+007 +1.246483095e+007 +1.246483095e+007 +1.2098e+001 +3.8890e+001 +3.8915e+001 +1.8142e+001 +3.5635e+000
51 +9.755851353e+006 +9.755851353e+006 +9.755641473e+006 +9.755641473e+006 +1.2098e+001 +3.8890e+001 +3.8914e+001 +1.8134e+001 +1.9452e+000
78 +1.174258590e+006 +1.174258590e+006 +1.174048710e+006 +1.174048710e+006 +1.2097e+001 +3.8783e+001 +3.7369e+001 +1.8654e+000 +1.7672e+000
110 +6.401244881e+004 +6.401244881e+004 +6.380256881e+004 +6.380256881e+004 +1.2039e+001 +3.5503e+001 +4.0494e+000 +3.3446e+000 +1.7689e+000
112 +6.302573469e+004 +6.302573469e+004 +6.281585469e+004 +6.281585469e+004 +1.2041e+001 +3.5607e+001 +5.1077e+000 +3.3135e+000 +1.7688e+000
143 +2.329514004e+004 +2.329514004e+004 +2.308526004e+004 +2.308526004e+004 +1.0432e+001 -5.4417e+000 +6.1639e+000 +3.0203e+000 +1.7703e+000
175 +1.188659949e+004 +1.188659949e+004 +1.167671949e+004 +1.167671949e+004 +9.1512e+000 +1.0822e+001 +3.6038e+000 +2.8988e+000 +1.7730e+000
203 +9.526596660e+003 +9.526596660e+003 +9.316716660e+003 +9.316716660e+003 +9.0060e+000 +8.0518e+000 +2.1502e+000 +2.8128e+000 +1.7780e+000
552 +1.793486986e+003 +1.793486986e+003 +1.583606986e+003 +1.583606986e+003 -3.4653e+001 +5.0938e-001 +3.6253e+000 +2.4579e+000 +1.7656e+000
578 +1.471727804e+002 +1.471727804e+002 -6.270721962e+001 -6.270721962e+001 -4.2504e+000 +4.9636e-001 +3.6127e+000 +2.4448e+000 +1.7842e+000
743 +7.017029585e+001 +7.017029585e+001 -1.397097042e+002 -1.397097042e+002 +7.1286e+000 +4.4339e-001 +3.6176e+000 +2.3941e+000 +1.7912e+000
770 +3.466703000e+001 +3.466703000e+001 -1.752129700e+002 -1.752129700e+002 +9.6794e-001 +4.4612e-001 +3.6134e+000 +2.3944e+000 +1.7912e+000
1330 +9.350339940e+000 +9.350339940e+000 -2.005296601e+002 -2.005296601e+002 +4.3314e+000 +4.2783e-001 +3.5615e+000 +2.3864e+000 +1.7855e+000
1335 +1.721022803e+000 +1.721022803e+000 -2.081589772e+002 -2.081589772e+002 +1.7011e+000 +4.4325e-001 +3.5609e+000 +2.3863e+000 +1.7844e+000
4469 +8.865775846e-001 +8.865775846e-001 -2.089934224e+002 -2.089934224e+002 +1.0260e+000 +3.0972e-001 +3.5528e+000 +2.3869e+000 +1.7860e+000
4470 +1.121783694e-001 +1.121783694e-001 -2.097678216e+002 -2.097678216e+002 +1.0156e+000 +4.4497e-001 +3.5527e+000 +2.3868e+000 +1.7859e+000
4498 +3.876060425e-002 +3.876060425e-002 -2.098412394e+002 -2.098412394e+002 +1.3535e+000 +4.5062e-001 +3.5571e+000 +2.3864e+000 +1.7857e+000
4523 +2.412200716e-002 +2.412200716e-002 -2.098558780e+002 -2.098558780e+002 +1.2804e+000 +4.5142e-001 +3.5562e+000 +2.3865e+000 +1.7857e+000
4607 +1.050236863e-002 +1.050236863e-002 -2.098694976e+002 -2.098694976e+002 +1.1218e+000 +4.4638e-001 +3.5542e+000 +2.3863e+000 +1.7855e+000
4634 +9.303705250e-003 +9.303705250e-003 -2.098706963e+002 -2.098706963e+002 +1.1218e+000 +4.4637e-001 +3.5544e+000 +2.3863e+000 +1.7855e+000
4676 +1.192504236e-003 +1.192504236e-003 -2.098788075e+002 -2.098788075e+002 +1.1939e+000 +4.4382e-001 +3.5544e+000 +2.3864e+000 +1.7856e+000
4710 +8.593589214e-004 +8.593589214e-004 -2.098791406e+002 -2.098791406e+002 +1.1883e+000 +4.4481e-001 +3.5544e+000 +2.3864e+000 +1.7856e+000
4718 +2.830902998e-004 +2.830902998e-004 -2.098797169e+002 -2.098797169e+002 +1.1916e+000 +4.4734e-001 +3.5544e+000 +2.3864e+000 +1.7856e+000
4720 +2.499988443e-004 +2.499988443e-004 -2.098797500e+002 -2.098797500e+002 +1.1924e+000 +4.4796e-001 +3.5544e+000 +2.3864e+000 +1.7856e+000
