% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.091910735e+009 +3.091910735e+009 +3.091910525e+009 +3.091910525e+009 +1.8783e+001 +4.9784e+001 +1.6429e+001 +4.5707e+001 +2.4515e+001 +4.4732e+001 +3.0660e+001 +2.4176e+001 +3.5240e+001 +3.2224e+001 +2.3782e+001 +3.0057e+001 +1.9699e+001 +2.8973e+001 +1.3070e+001 +2.6903e+001 +1.1534e+001 +3.5464e+001 +4.4795e+001 +4.4835e+001
4 +2.102044523e+009 +2.102044523e+009 +2.102044313e+009 +2.102044313e+009 +2.3600e+001 +3.1938e+001 +1.5675e+001 +3.2211e+001 +3.9915e+001 +2.5379e+001 +2.8371e+001 +2.0319e+001 +4.0527e+001 +3.5066e+001 +3.5728e+001 +4.3459e+001 +2.5534e+001 +4.9186e+001 +2.7056e+001 +3.0792e+001 +2.9911e+001 +1.7996e+001 +3.5921e+001 +3.7661e+001
5 +1.175215239e+009 +1.175215239e+009 +1.175215029e+009 +1.175215029e+009 +1.4909e+001 +2.6450e+001 +2.0438e+001 +2.6584e+001 +1.0119e+001 +3.1866e+001 +1.6012e+001 +2.4556e+001 +1.6896e+001 +2.1667e+001 +1.6875e+001 +1.4348e+001 +4.0436e+001 +4.9385e+001 +3.4960e+001 +4.1316e+001 +3.5624e+001 +2.1537e+001 +3.8144e+001 +1.2244e+001
81 +5.041036332e+008 +5.041036332e+008 +5.041034233e+008 +5.041034233e+008 +1.8783e+001 +4.9784e+001 +1.6429e+001 +4.5707e+001 +2.4515e+001 +4.4731e+001 +3.0658e+001 +2.4170e+001 +3.5236e+001 +3.2212e+001 +2.3735e+001 +2.9987e+001 +1.9677e+001 +2.8811e+001 +1.2818e+001 +2.6279e+001 +1.0452e+001 +3.3842e+001 +1.6413e+001 +8.5250e-002
136 +1.976964755e+008 +1.976964755e+008 +1.976962657e+008 +1.976962657e+008 +1.8783e+001 +4.9783e+001 +1.6429e+001 +4.5703e+001 +2.4510e+001 +4.4717e+001 +3.0641e+001 +2.4116e+001 +3.5195e+001 +3.2111e+001 +2.3329e+001 +2.9364e+001 +1.9482e+001 +2.7322e+001 +1.0247e+001 +1.9459e+001 -5.5290e+000 +1.1350e+001 -9.7931e+000 +1.2729e+001
198 +1.313572155e+008 +1.313572155e+008 +1.313570056e+008 +1.313570056e+008 +1.8783e+001 +4.9783e+001 +1.6429e+001 +4.5702e+001 +2.4509e+001 +4.4714e+001 +3.0637e+001 +2.4104e+001 +3.5186e+001 +3.2088e+001 +2.3241e+001 +2.9208e+001 +1.9431e+001 +2.6849e+001 +9.4030e+000 +1.6106e+001 -6.5419e+000 +5.0817e+000 -7.5205e+000 +1.1321e+001
661 +7.955057720e+007 +7.955057720e+007 +7.955036732e+007 +7.955036732e+007 +1.8699e+001 +1.0078e+001 +1.8129e+001 +1.0226e+001 +2.5436e+001 +3.2470e+001 +3.3738e+001 +3.0741e+001 +1.8507e+001 +1.3670e+001 +2.9531e+001 +2.4648e+001 +4.2592e+001 +1.7409e+001 +1.3077e+001 +1.1261e+001 -2.8450e+000 -6.1254e+000 -2.6038e+000 +6.7957e+000
719 +4.019262281e+007 +4.019262281e+007 +4.019241293e+007 +4.019241293e+007 +1.8699e+001 +1.0077e+001 +1.8127e+001 +1.0224e+001 +2.5402e+001 +3.2439e+001 +3.3702e+001 +3.0650e+001 +1.8289e+001 +1.3172e+001 +2.7909e+001 +1.9205e+001 +3.2784e+001 +7.5799e+000 -1.3427e+001 -6.4756e+000 -3.1141e+000 -2.0343e+000 -3.1889e+000 +6.3547e+000
720 +3.930379875e+007 +3.930379875e+007 +3.930358887e+007 +3.930358887e+007 +1.8699e+001 +1.0077e+001 +1.8127e+001 +1.0224e+001 +2.5404e+001 +3.2441e+001 +3.3705e+001 +3.0657e+001 +1.8305e+001 +1.3210e+001 +2.8033e+001 +1.9621e+001 +3.3537e+001 +8.3567e+000 -1.1425e+001 -5.1419e+000 -2.8663e+000 -2.3132e+000 -3.1898e+000 +6.3746e+000
5974 +2.421676342e+007 +2.421676342e+007 +2.421655354e+007 +2.421655354e+007 +2.1657e+001 +2.1484e+001 +1.6792e+001 +3.1104e+001 +1.5396e+001 +4.0386e+001 +2.1565e+001 +3.3307e+001 +2.5897e+001 +3.2377e+001 +2.2342e+001 +1.9876e+001 +2.0473e+001 +2.8334e+001 +4.3087e+000 -1.7814e+000 -6.8952e+000 +3.1133e+000 -4.0794e-001 +3.3775e+000
