% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.348628731e+007 +1.348628731e+007 +1.348607743e+007 +1.348607743e+007 -2.4469e+000 -2.9168e+000 -1.0895e+000 +3.7461e+000 +1.8999e-001 +4.1020e+000 +6.3378e-001 -4.4425e+000 +3.1068e+000 -2.2492e+000 +3.2684e+000 -2.5182e+000 -4.3098e+000 -2.8338e+000 +1.3501e+000 +4.8464e-001 -3.8586e+000 -3.7734e+000 -1.0608e+000 +8.9292e-001
5 +5.154630823e+006 +5.154630823e+006 +5.154420943e+006 +5.154420943e+006 -2.5015e+000 -1.9412e+000 +3.1385e+000 +2.0678e+000 -4.5011e+000 +2.4540e+000 +2.9387e+000 -3.6837e+000 -9.5596e-002 +1.6828e+000 +6.0787e-001 +1.8112e+000 -4.6288e+000 -3.9798e+000 -4.9476e+000 +4.3939e+000 -3.5520e+000 +3.8930e+000 -1.6448e+000 +1.3928e+000
8 +3.763564866e+006 +3.763564866e+006 +3.763354986e+006 +3.763354986e+006 +1.2027e+000 -4.1492e+000 +1.8014e+000 +2.3096e+000 +1.0826e+000 +2.7498e+000 +2.0939e+000 -3.8156e+000 +4.3039e+000 -1.7530e+000 -3.3051e+000 +4.6796e+000 +2.0064e-001 -4.3204e+000 +1.2369e+000 -1.6548e+000 -3.3710e+000 +1.5782e+000 -4.5427e+000 +2.3778e+000
192 +1.170155081e+006 +1.170155081e+006 +1.169945201e+006 +1.169945201e+006 -2.4468e+000 -2.9168e+000 -1.0894e+000 +3.7461e+000 +1.9017e-001 +4.1019e+000 +6.3454e-001 -4.4381e+000 +3.0968e+000 -2.2306e+000 +3.2427e+000 -2.4361e+000 -3.8883e+000 -2.6858e+000 +1.0417e+000 -9.9756e-001 -3.3957e+000 +3.0286e+000 -2.6459e+000 +2.1265e+000
255 +6.343482832e+005 +6.343482832e+005 +6.341384032e+005 +6.341384032e+005 -2.4467e+000 -2.9164e+000 -1.0887e+000 +3.7460e+000 +1.9130e-001 +4.1015e+000 +6.3915e-001 -4.4109e+000 +3.0358e+000 -2.1165e+000 +3.0791e+000 -1.9321e+000 -1.5694e+000 -1.7431e+000 -1.1013e+000 -5.2232e+000 -1.6793e+000 +2.9399e+000 -2.3912e+000 +2.0632e+000
256 +4.142019711e+005 +4.142019711e+005 +4.139920911e+005 +4.139920911e+005 -2.4467e+000 -2.9165e+000 -1.0889e+000 +3.7460e+000 +1.9092e-001 +4.1016e+000 +6.3761e-001 -4.4200e+000 +3.0562e+000 -2.1546e+000 +3.1338e+000 -2.1006e+000 -2.3437e+000 -2.0584e+000 -3.8283e-001 -3.8310e+000 -2.2511e+000 +3.1230e+000 -2.3952e+000 +2.0287e+000
315 +3.070473676e+005 +3.070473676e+005 +3.068374876e+005 +3.068374876e+005 -2.4466e+000 -2.9164e+000 -1.0885e+000 +3.7459e+000 +1.9155e-001 +4.1014e+000 +6.4016e-001 -4.4050e+000 +3.0224e+000 -2.0917e+000 +3.0351e+000 -1.8257e+000 -1.3636e+000 -1.7551e+000 -1.6023e+000 -4.7834e+000 -3.0227e+000 +3.0271e+000 -2.3994e+000 +2.0624e+000
373 +1.557657384e+005 +1.557657384e+005 +1.555558584e+005 +1.555558584e+005 -2.4464e+000 -2.9158e+000 -1.0873e+000 +3.7457e+000 +1.9355e-001 +4.1007e+000 +6.4831e-001 -4.3571e+000 +2.9137e+000 -1.8902e+000 +2.6942e+000 -9.7771e-001 +1.1589e+000 -9.7134e-001 -2.5301e+000 -3.6105e+000 -2.6052e+000 +3.1529e+000 -2.3882e+000 +2.0201e+000
436 +8.662148400e+004 +8.662148400e+004 +8.641160400e+004 +8.641160400e+004 -2.4458e+000 -2.9148e+000 -1.0851e+000 +3.7454e+000 +1.9712e-001 +4.0994e+000 +6.6289e-001 -4.2714e+000 +2.7184e+000 -1.5295e+000 +2.1476e+000 +2.9704e-001 +5.0259e+000 -1.8175e-001 -1.3583e+000 -3.4038e+000 -3.2355e+000 +3.1580e+000 -2.4020e+000 +2.0295e+000
497 +5.059387984e+004 +5.059387984e+004 +5.038399984e+004 +5.038399984e+004 -2.4457e+000 -2.9144e+000 -1.0843e+000 +3.7452e+000 +1.9831e-001 +4.0990e+000 +6.6778e-001 -4.2428e+000 +2.6524e+000 -1.4064e+000 +2.1908e+000 +4.0955e-001 +4.5416e+000 -1.5696e+000 -1.6841e+000 -3.4567e+000 -3.0123e+000 +3.1512e+000 -2.3979e+000 +2.0268e+000
556 +3.537006309e+004 +3.537006309e+004 +3.516018309e+004 +3.516018309e+004 -2.4444e+000 -2.9119e+000 -1.0789e+000 +3.7443e+000 +2.0710e-001 +4.0958e+000 +7.0392e-001 -4.0313e+000 +2.1749e+000 -5.0053e-001 +1.8486e+000 +2.3885e+000 +4.1913e+000 -1.6215e+000 -1.6455e+000 -3.5288e+000 -3.0051e+000 +3.1442e+000 -2.3980e+000 +2.0287e+000
676 +2.449288148e+004 +2.449288148e+004 +2.428300148e+004 +2.428300148e+004 -2.4392e+000 -2.9019e+000 -1.0570e+000 +3.7406e+000 +2.4268e-001 +4.0832e+000 +8.5322e-001 -3.1917e+000 +6.6221e-001 +2.4050e+000 +2.1052e-001 +2.4523e+000 +4.0444e+000 -1.6782e+000 -1.6644e+000 -3.5600e+000 -2.9887e+000 +3.1413e+000 -2.3977e+000 +2.0292e+000
