% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.817237946e+007 +2.817237946e+007 +2.817216958e+007 +2.817216958e+007 +7.5730e-002 -4.4282e+000 +1.3633e+000 -3.4752e+000 -1.9455e+000 -2.1728e+000 -4.9113e+000 -4.0910e+000 +2.4593e+000 +2.2655e+000 -4.3148e-001 -4.1377e+000 +2.2246e+000 +3.0600e+000 -1.2480e+000 +3.2321e+000 -4.3161e+000 -3.8444e+000 +2.3823e+000 -3.4723e-002
2 +9.277356725e+006 +9.277356725e+006 +9.277146845e+006 +9.277146845e+006 +6.1014e-001 -2.4441e+000 -4.4931e-001 -1.0975e+000 +8.1206e-002 -4.9595e+000 +1.8533e+000 +3.4881e+000 +1.4283e-001 -2.2331e+000 +4.4724e+000 +2.5753e+000 +4.7137e+000 -1.4292e+000 -2.1019e+000 +1.8489e+000 -4.3335e+000 +1.0379e+000 +1.0897e-001 +3.0898e-001
136 +3.465591392e+006 +3.465591392e+006 +3.465381512e+006 +3.465381512e+006 +7.5736e-002 -4.4282e+000 +1.3633e+000 -3.4750e+000 -1.9452e+000 -2.1723e+000 -4.9092e+000 -4.0885e+000 +2.4542e+000 +2.2665e+000 -4.2206e-001 -4.0896e+000 +2.2563e+000 +2.8620e+000 -1.2815e+000 +1.5969e+000 -3.6702e+000 +1.1701e+000 -3.4736e+000 +1.7547e+000
195 +1.282576308e+006 +1.282576308e+006 +1.282366428e+006 +1.282366428e+006 +7.5742e-002 -4.4282e+000 +1.3634e+000 -3.4749e+000 -1.9449e+000 -2.1717e+000 -4.9070e+000 -4.0860e+000 +2.4490e+000 +2.2676e+000 -4.1234e-001 -4.0405e+000 +2.2891e+000 +2.6536e+000 -1.3117e+000 +3.0356e-001 -3.4280e+000 +2.9771e+000 -2.2217e+000 +2.0478e+000
258 +4.350294619e+005 +4.350294619e+005 +4.348195819e+005 +4.348195819e+005 +7.5763e-002 -4.4281e+000 +1.3635e+000 -3.4744e+000 -1.9440e+000 -2.1699e+000 -4.9000e+000 -4.0780e+000 +2.4327e+000 +2.2710e+000 -3.8143e-001 -3.8866e+000 +2.3945e+000 +1.9664e+000 -1.3801e+000 -2.7255e+000 -2.9400e+000 +2.9720e+000 -2.0127e+000 +2.1488e+000
259 +3.821530200e+005 +3.821530200e+005 +3.819431400e+005 +3.819431400e+005 +7.5770e-002 -4.4280e+000 +1.3635e+000 -3.4742e+000 -1.9437e+000 -2.1693e+000 -4.8977e+000 -4.0753e+000 +2.4272e+000 +2.2721e+000 -3.7117e-001 -3.8355e+000 +2.4296e+000 +1.7374e+000 -1.4020e+000 -3.6983e+000 -2.7874e+000 +2.7917e+000 -2.0303e+000 +2.1715e+000
377 +2.245721986e+005 +2.245721986e+005 +2.243623186e+005 +2.243623186e+005 +7.6006e-002 -4.4269e+000 +1.3645e+000 -3.4686e+000 -1.9335e+000 -2.1485e+000 -4.8185e+000 -3.9837e+000 +2.2437e+000 +2.3098e+000 -1.6190e-002 -2.1598e+000 +3.8112e+000 -2.1463e+000 -1.8773e+000 -3.1885e+000 -2.7228e+000 +2.8897e+000 -2.0133e+000 +2.1595e+000
498 +1.550599540e+005 +1.550599540e+005 +1.548500740e+005 +1.548500740e+005 +7.6490e-002 -4.4246e+000 +1.3665e+000 -3.4572e+000 -1.9126e+000 -2.1061e+000 -4.6612e+000 -3.7966e+000 +1.9248e+000 +2.3760e+000 +4.7189e-001 +7.4498e-001 +4.4593e+000 -1.0595e+000 -1.6464e+000 -3.3412e+000 -2.9210e+000 +2.8721e+000 -2.0232e+000 +2.1637e+000
1130 +9.176208419e+004 +9.176208419e+004 +9.155220419e+004 +9.155220419e+004 +6.1064e-001 -2.4361e+000 -4.2712e-001 -1.0538e+000 +1.1401e-001 -4.5528e+000 +1.8897e+000 +2.6675e+000 -3.2011e-001 +1.2702e+000 -1.0318e+000 +1.0380e+000 +3.3276e+000 -1.3535e+000 -2.1114e+000 -3.5233e+000 -2.8264e+000 +3.4688e+000 -2.6135e+000 +1.9323e+000
3252 +5.952231199e+004 +5.952231199e+004 +5.931243199e+004 +5.931243199e+004 -2.4305e+000 +3.4885e+000 +8.2238e-001 -2.9799e+000 -1.2621e+000 +1.8207e+000 -3.1918e+000 +3.6020e+000 +1.0910e+000 +4.6083e+000 +9.9414e-002 -5.0050e-002 +3.3916e+000 -1.6427e+000 -1.5680e+000 -4.5760e+000 -3.0929e+000 +3.0496e+000 -2.3050e+000 +1.9957e+000
3493 +3.931376840e+004 +3.931376840e+004 +3.910388840e+004 +3.910388840e+004 -2.4127e+000 +3.4681e+000 +8.7388e-001 -2.8181e+000 -9.9851e-001 +1.9799e+000 -1.7679e+000 +1.5073e+000 -1.2444e+000 +2.7890e+000 +5.6076e-001 +1.2203e+000 +3.9611e+000 -1.1255e+000 -1.6164e+000 -4.5405e+000 -3.0788e+000 +3.0504e+000 -2.3031e+000 +1.9979e+000
