% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.658519529e+007 +2.658519529e+007 +2.658498541e+007 +2.658498541e+007
5 +1.761321722e+007 +1.761321722e+007 +1.761300734e+007 +1.761300734e+007
10 +1.536303500e+007 +1.536303500e+007 +1.536282512e+007 +1.536282512e+007
337 +9.987462612e+006 +9.987462612e+006 +9.987252732e+006 +9.987252732e+006
532 +4.636337468e+006 +4.636337468e+006 +4.636127588e+006 +4.636127588e+006
630 +3.968405120e+006 +3.968405120e+006 +3.968195240e+006 +3.968195240e+006
1895 +1.783049035e+006 +1.783049035e+006 +1.782839155e+006 +1.782839155e+006
1896 +1.521409175e+006 +1.521409175e+006 +1.521199295e+006 +1.521199295e+006
2098 +7.547439848e+005 +7.547439848e+005 +7.545341048e+005 +7.545341048e+005
10483 +6.187717798e+005 +6.187717798e+005 +6.185618998e+005 +6.185618998e+005
