% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.854468565e+009 +2.854468565e+009 +2.854468355e+009 +2.854468355e+009 +4.3930e+001 +1.2409e+001 +2.5242e+001 +4.9643e+001 +3.0406e+001 +1.9650e+001 +3.7838e+001 +3.9598e+001 +2.6837e+001 +1.6309e+001 +3.7944e+001 +1.9600e+001 +3.5395e+001 +3.1509e+001 +4.6423e+001 +4.4293e+001 +1.1344e+001 +4.4902e+001 +4.1141e+001 +4.2402e+001
2 +1.193062266e+009 +1.193062266e+009 +1.193062056e+009 +1.193062056e+009 +1.0870e+001 +3.3098e+001 +3.6044e+001 +3.9530e+001 +4.6524e+001 +1.5729e+001 +2.3008e+001 +1.2186e+001 +3.2705e+001 +1.7767e+001 +4.3851e+001 +1.8487e+001 +2.7560e+001 +3.8912e+001 +1.6953e+001 +4.3353e+001 +3.7890e+001 +2.1419e+001 +3.6265e+001 +1.4651e+001
8 +7.617467993e+008 +7.617467993e+008 +7.617465894e+008 +7.617465894e+008 +1.0814e+001 +1.5843e+001 +1.0794e+001 +3.6249e+001 +3.2254e+001 +4.1450e+001 +4.4150e+001 +2.3693e+001 +4.8003e+001 +3.6461e+001 +3.3681e+001 +4.5610e+001 +4.2879e+001 +2.6375e+001 +1.6290e+001 +3.0054e+001 +1.3985e+001 +4.1238e+001 +1.6150e+001 +1.4941e+001
82 +5.232068026e+008 +5.232068026e+008 +5.232065927e+008 +5.232065927e+008 +4.3930e+001 +1.2409e+001 +2.5242e+001 +4.9643e+001 +3.0406e+001 +1.9650e+001 +3.7837e+001 +3.9591e+001 +2.6824e+001 +1.6294e+001 +3.7911e+001 +1.9582e+001 +3.5321e+001 +3.1393e+001 +4.4259e+001 +3.9808e+001 +9.6646e+000 +3.2182e+001 +9.6937e+000 -2.8012e+000
142 +1.903399851e+008 +1.903399851e+008 +1.903397752e+008 +1.903397752e+008 +4.3930e+001 +1.2409e+001 +2.5242e+001 +4.9641e+001 +3.0404e+001 +1.9650e+001 +3.7834e+001 +3.9577e+001 +2.6796e+001 +1.6262e+001 +3.7838e+001 +1.9540e+001 +3.5149e+001 +3.1130e+001 +3.9727e+001 +3.1769e+001 +3.3700e+000 +1.4200e+001 -9.6026e+000 +4.9725e+000
199 +1.241283428e+008 +1.241283428e+008 +1.241281329e+008 +1.241281329e+008 +4.3929e+001 +1.2409e+001 +2.5241e+001 +4.9639e+001 +3.0403e+001 +1.9650e+001 +3.7831e+001 +3.9558e+001 +2.6758e+001 +1.6218e+001 +3.7743e+001 +1.9486e+001 +3.4910e+001 +3.0777e+001 +3.5363e+001 +2.7725e+001 -9.6403e-001 -7.3597e-001 -4.1568e+000 +3.8557e+000
259 +7.192727032e+007 +7.192727032e+007 +7.192706044e+007 +7.192706044e+007 +4.3928e+001 +1.2408e+001 +2.5239e+001 +4.9626e+001 +3.0392e+001 +1.9648e+001 +3.7810e+001 +3.9444e+001 +2.6533e+001 +1.5952e+001 +3.7188e+001 +1.9181e+001 +3.3370e+001 +2.8564e+001 +2.2406e+001 +9.8365e+000 -1.4713e+001 +5.4863e+000 -5.1222e-001 +1.5975e+000
320 +3.703581236e+007 +3.703581236e+007 +3.703560248e+007 +3.703560248e+007 +4.3928e+001 +1.2407e+001 +2.5237e+001 +4.9616e+001 +3.0384e+001 +1.9646e+001 +3.7793e+001 +3.9355e+001 +2.6349e+001 +1.5733e+001 +3.6775e+001 +1.8963e+001 +3.1771e+001 +2.6120e+001 +9.1807e+000 +1.9191e+000 -8.7641e+000 +7.3615e+000 +4.4929e-001 +1.2891e+000
4289 +2.164118626e+007 +2.164118626e+007 +2.164097638e+007 +2.164097638e+007 +1.1658e+001 +2.7480e+001 +3.8980e+001 +2.7252e+001 +2.7867e+001 +1.9965e+001 +2.5424e+001 +3.4202e+001 +2.4815e+001 +2.5593e+001 +4.3321e+001 +2.5539e+001 +2.3618e+001 +1.5034e+001 +1.3738e+001 -3.9174e+000 -3.9307e+000 +1.9004e+000 -2.5946e+000 +1.6685e-002
4348 +1.000063523e+007 +1.000063523e+007 +1.000042535e+007 +1.000042535e+007 +1.1657e+001 +2.7471e+001 +3.8975e+001 +2.7209e+001 +2.7783e+001 +1.9953e+001 +2.5094e+001 +3.4043e+001 +2.3261e+001 +2.2714e+001 +3.5646e+001 +1.1928e+001 +1.3597e+001 +1.0450e+001 -5.7322e+000 -3.0347e+000 -2.7755e+000 +2.9026e+000 -2.0970e+000 -2.1235e-001
