% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.930472472e+009 +1.930472472e+009 +1.930472262e+009 +1.930472262e+009 +4.6843e+001 +2.2222e+001 +1.3348e+001 +3.7574e+001 +2.6654e+001 +2.3519e+001 +2.2142e+001 +3.2541e+001 +4.7888e+001 +2.1463e+001 +3.5439e+001 +1.5354e+001 +1.0273e+001 +2.4449e+001 +4.5148e+001 +4.5395e+001 +1.7233e+001 +1.6258e+001 +3.2319e+001 +3.3472e+001
3 +7.572081152e+008 +7.572081152e+008 +7.572079053e+008 +7.572079053e+008 +1.6997e+001 +2.0527e+001 +2.7250e+001 +4.2735e+001 +1.6382e+001 +3.9631e+001 +2.2848e+001 +2.0588e+001 +3.5137e+001 +2.8577e+001 +4.2601e+001 +3.8997e+001 +2.3210e+001 +2.0883e+001 +4.9699e+001 +3.1055e+001 +3.3671e+001 +2.8697e+001 +1.2569e+001 +1.4370e+001
81 +3.044609265e+008 +3.044609265e+008 +3.044607166e+008 +3.044607166e+008 +4.6843e+001 +2.2222e+001 +1.3348e+001 +3.7574e+001 +2.6650e+001 +2.3516e+001 +2.2137e+001 +3.2536e+001 +4.7796e+001 +2.1437e+001 +3.5384e+001 +1.5155e+001 +1.0079e+001 +2.2290e+001 +3.8224e+001 +3.0417e+001 +8.7834e+000 -2.4000e+000 +1.3269e+001 -5.0399e+000
143 +1.026234710e+008 +1.026234710e+008 +1.026232612e+008 +1.026232612e+008 +4.6842e+001 +2.2221e+001 +1.3348e+001 +3.7573e+001 +2.6646e+001 +2.3511e+001 +2.2130e+001 +3.2529e+001 +4.7668e+001 +2.1402e+001 +3.5309e+001 +1.4859e+001 +9.8192e+000 +1.9301e+001 +3.2568e+001 +2.5851e+001 -4.3679e+000 +1.3647e+000 +2.6282e-001 +3.8954e+000
211 +6.902799985e+007 +6.902799985e+007 +6.902778997e+007 +6.902778997e+007 +4.6842e+001 +2.2221e+001 +1.3348e+001 +3.7573e+001 +2.6640e+001 +2.3505e+001 +2.2121e+001 +3.2520e+001 +4.7496e+001 +2.1355e+001 +3.5210e+001 +1.4431e+001 +9.5056e+000 +1.7016e+001 +2.9863e+001 +1.7743e+001 -6.7660e+000 +7.1811e+000 -3.2748e+000 +4.1280e+000
331 +5.384912564e+007 +5.384912564e+007 +5.384891576e+007 +5.384891576e+007 +4.6839e+001 +2.2219e+001 +1.3347e+001 +3.7569e+001 +2.6610e+001 +2.3473e+001 +2.2077e+001 +3.2474e+001 +4.6640e+001 +2.1131e+001 +3.4731e+001 +1.2148e+001 +8.2106e+000 +1.1775e+001 +1.5891e+001 +1.0330e+001 -5.6991e+000 +7.3363e+000 +1.4780e+000 +5.8731e+000
1603 +3.946872121e+007 +3.946872121e+007 +3.946851133e+007 +3.946851133e+007 +2.1034e+001 +4.7691e+001 +3.3162e+001 +3.4393e+001 +3.5644e+001 +3.6390e+001 +4.6816e+001 +2.6984e+001 +1.2118e+001 +3.5456e+001 +3.9483e+001 +1.4942e+001 +1.1142e+001 +2.2460e+001 +1.0422e+001 -1.4283e+001 -1.0679e+001 +2.3969e+000 +1.1598e+000 -4.8350e-001
8180 +2.331236236e+007 +2.331236236e+007 +2.331215248e+007 +2.331215248e+007 +4.6838e+001 +2.2217e+001 +1.3346e+001 +3.7567e+001 +2.6594e+001 +2.3456e+001 +2.2053e+001 +3.2449e+001 +4.6182e+001 +2.1017e+001 +3.4483e+001 +1.1088e+001 +7.6093e+000 +8.8477e+000 +8.7419e+000 +1.0941e+001 -4.4292e+000 +5.6197e+000 -1.5066e+000 +1.1798e+000
8297 +1.430414287e+007 +1.430414287e+007 +1.430393299e+007 +1.430393299e+007 +4.6837e+001 +2.2217e+001 +1.3346e+001 +3.7566e+001 +2.6583e+001 +2.3444e+001 +2.2037e+001 +3.2431e+001 +4.5869e+001 +2.0950e+001 +3.4326e+001 +1.0843e+001 +7.2854e+000 +7.1868e+000 +5.5066e+000 +1.1870e+000 -2.3330e+000 +2.2765e-001 -3.2572e+000 +4.1382e+000
9302 +9.310950445e+006 +9.310950445e+006 +9.310740565e+006 +9.310740565e+006 +1.6996e+001 +2.0522e+001 +2.7225e+001 +4.2689e+001 +1.6353e+001 +3.9533e+001 +2.2627e+001 +2.0119e+001 +3.4457e+001 +2.4504e+001 +3.6550e+001 +3.3689e+001 +1.7241e+001 -6.9449e-001 -3.1427e+000 -4.0147e+000 -9.6268e-001 +3.9593e+000 -3.6876e+000 +2.6728e+000
10507 +4.924222957e+006 +4.924222957e+006 +4.924013077e+006 +4.924013077e+006 +4.7484e+001 +3.3961e+001 +1.5762e+001 +1.1870e+001 +2.8065e+001 +3.7274e+001 +2.0068e+001 +1.7014e+001 +2.1812e+001 +3.6608e+001 +8.5878e+000 +8.6827e+000 +1.1039e+001 -8.2110e+000 -2.3982e+000 -3.5463e+000 -2.8517e+000 +3.7551e+000 -4.0700e-001 +2.8474e+000
12132 +3.547972131e+006 +3.547972131e+006 +3.547762251e+006 +3.547762251e+006 +1.4175e+001 +2.7875e+001 +4.8890e+001 +3.0811e+001 +1.6806e+001 +4.7315e+001 +2.2744e+001 +3.0367e+001 +2.2501e+001 +3.1236e+001 +9.4703e+000 +1.7497e+001 +1.6237e+001 -1.9704e+000 +8.5219e-002 -4.1560e+000 -2.2344e+000 +3.4203e+000 -1.8852e+000 +2.3828e+000
18402 +2.293380209e+006 +2.293380209e+006 +2.293170329e+006 +2.293170329e+006 +4.7486e+001 +3.3961e+001 +1.5765e+001 +1.1871e+001 +2.8085e+001 +3.7284e+001 +2.0078e+001 +1.7025e+001 +2.2223e+001 +3.6864e+001 +8.7237e+000 +1.1341e+001 +1.2555e+001 -5.6379e+000 -1.8291e+000 -3.0987e+000 -2.9082e+000 +3.5872e+000 -2.1521e+000 +2.1823e+000
18643 +1.318468589e+006 +1.318468589e+006 +1.318258709e+006 +1.318258709e+006 +4.7464e+001 +3.3956e+001 +1.5735e+001 +1.1854e+001 +2.7832e+001 +3.7162e+001 +1.9970e+001 +1.6892e+001 +1.8197e+001 +3.4888e+001 +6.0400e+000 +4.8974e+000 +4.1564e+000 +1.6157e+000 -2.4354e+000 -3.9864e+000 -3.2468e+000 +2.9901e+000 -2.1788e+000 +2.2133e+000
