% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.319184600e+009 +1.319184600e+009 +1.319184390e+009 +1.319184390e+009 +3.4383e+001 +3.8297e+001 +2.7187e+001 +2.3088e+001 +3.4937e+001 +3.9502e+001 +2.8420e+001 +2.6526e+001 +1.5634e+001 +4.8564e+001 +4.2264e+001 +3.6538e+001 +1.0250e+001 +3.3847e+001 +3.2161e+001 +3.8285e+001 +4.4540e+001 +2.3358e+001 +3.3871e+001 +1.8322e+001
80 +1.477631687e+008 +1.477631687e+008 +1.477629588e+008 +1.477629588e+008 +3.4383e+001 +3.8297e+001 +2.7186e+001 +2.3087e+001 +3.4937e+001 +3.9499e+001 +2.8404e+001 +2.6495e+001 +1.5630e+001 +4.8349e+001 +4.1966e+001 +3.6384e+001 +1.0016e+001 +3.3133e+001 +3.1145e+001 +2.6024e+001 +7.5504e+000 +2.1217e+000 -1.8898e+000 +7.3144e+000
202 +7.715371160e+007 +7.715371160e+007 +7.715350172e+007 +7.715350172e+007 +3.4382e+001 +3.8296e+001 +2.7185e+001 +2.3086e+001 +3.4936e+001 +3.9495e+001 +2.8384e+001 +2.6455e+001 +1.5626e+001 +4.8077e+001 +4.1603e+001 +3.6196e+001 +9.7369e+000 +3.2377e+001 +2.9843e+001 +1.2641e+001 -4.4621e+000 +2.4870e-001 -3.5447e+000 -1.1746e+000
323 +5.326845689e+007 +5.326845689e+007 +5.326824701e+007 +5.326824701e+007 +3.4382e+001 +3.8293e+001 +2.7172e+001 +2.3072e+001 +3.4925e+001 +3.9445e+001 +2.8142e+001 +2.5978e+001 +1.5573e+001 +4.4915e+001 +3.7596e+001 +3.4112e+001 +7.0063e+000 +2.4799e+001 -1.8721e+000 +5.6587e-001 -5.0035e+000 +7.8595e+000 -6.6386e+000 -2.6934e+000
1540 +3.793272208e+007 +3.793272208e+007 +3.793251220e+007 +3.793251220e+007 +3.5271e+001 +1.2365e+001 +2.4941e+001 +1.8210e+001 +3.4777e+001 +1.5832e+001 +2.3528e+001 +3.3767e+001 +2.5781e+001 +2.3268e+001 +3.6357e+001 +2.1032e+001 +1.1981e+001 +2.3055e+001 +3.4939e+000 -1.7077e+001 +5.1245e+000 -1.4400e+000 -1.0780e+000 +2.4996e+000
1599 +2.423413944e+007 +2.423413944e+007 +2.423392956e+007 +2.423392956e+007 +3.5270e+001 +1.2364e+001 +2.4937e+001 +1.8208e+001 +3.4772e+001 +1.5807e+001 +2.3461e+001 +3.3723e+001 +2.5373e+001 +2.2715e+001 +3.5698e+001 +1.8331e+001 +1.1204e+001 +3.7918e+000 -6.3760e+000 -1.7262e+001 +4.0485e+000 +2.2070e+000 -1.1673e+000 +2.5308e+000
8188 +1.392964716e+007 +1.392964716e+007 +1.392943728e+007 +1.392943728e+007 +3.4382e+001 +3.8292e+001 +2.7171e+001 +2.3070e+001 +3.4924e+001 +3.9439e+001 +2.8110e+001 +2.5913e+001 +1.5567e+001 +4.4596e+001 +3.7370e+001 +3.3911e+001 +6.7854e+000 +2.0035e+001 +1.5541e+000 -8.5531e-001 -2.3120e+000 +3.1791e+000 -3.9664e+000 +1.4797e+000
8310 +7.056199148e+006 +7.056199148e+006 +7.055989268e+006 +7.055989268e+006 +3.4381e+001 +3.8289e+001 +2.7160e+001 +2.3058e+001 +3.4915e+001 +3.9397e+001 +2.7896e+001 +2.5478e+001 +1.5522e+001 +4.2573e+001 +3.5896e+001 +3.2392e+001 +6.1908e+000 +1.4439e+000 -1.6130e+000 -6.1582e+000 -3.6876e+000 +2.6099e+000 -3.3096e+000 +1.9632e+000
8497 +6.242762065e+006 +6.242762065e+006 +6.242552185e+006 +6.242552185e+006 +3.4381e+001 +3.8285e+001 +2.7143e+001 +2.3040e+001 +3.4902e+001 +3.9335e+001 +2.7578e+001 +2.4818e+001 +1.5455e+001 +4.0368e+001 +3.4461e+001 +2.8386e+001 +4.8962e+000 -7.0841e-001 -1.5322e+000 -1.5160e+000 -3.8638e+000 +3.3034e+000 -3.3842e+000 +1.9782e+000
11302 +3.892511968e+006 +3.892511968e+006 +3.892302088e+006 +3.892302088e+006 +2.5953e+001 +1.5210e+001 +2.0397e+001 +3.4376e+001 +3.4535e+001 +4.0809e+001 +3.2644e+001 +1.0687e+001 +3.7979e+001 +3.7375e+001 +3.0365e+001 +1.5889e+001 +5.7141e+000 -1.1400e-001 -1.4554e+000 -3.1078e+000 -4.0988e+000 +2.5575e+000 -2.3699e+000 +1.7789e+000
16935 +2.334205736e+006 +2.334205736e+006 +2.333995856e+006 +2.333995856e+006 +1.9026e+001 +3.1997e+001 +4.4352e+001 +1.7953e+001 +2.4102e+001 +3.5312e+001 +2.2716e+001 +4.6662e+001 +3.4406e+001 +2.1141e+001 +1.8056e+001 +6.0749e+000 +1.3109e+001 -2.7005e+000 -3.4359e+000 -5.3044e+000 -3.9931e+000 +3.2797e+000 -2.4670e+000 +1.9155e+000
18557 +1.375383545e+006 +1.375383545e+006 +1.375173665e+006 +1.375173665e+006 +4.6089e+001 +4.4671e+001 +4.3034e+001 +3.6113e+001 +3.5654e+001 +4.7761e+001 +2.5609e+001 +2.2486e+001 +3.7683e+001 +2.0041e+001 +6.6658e+000 +4.0881e+000 +4.5640e+000 +2.3376e+000 -1.5371e+000 -2.9637e+000 -2.9126e+000 +2.3690e+000 -2.4092e+000 +2.3050e+000
