% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.090509555e+005 +6.090509555e+005 +6.091747855e+005 +6.091747855e+005 -4.4889e+000 +1.0021e+000 +6.1804e-001 -1.4745e+000 +4.9066e+000 +2.8011e+000 -3.7254e+000 +1.5072e+000 -4.3347e+000 +1.5361e+000 -2.0878e+000 +9.9372e-001 -1.2259e+000 +4.2952e+000 -2.2931e+000 +3.6848e+000 -4.3596e+000 -4.2046e+000 -2.3919e+000 -5.0100e-001
3 +3.891896413e+005 +3.891896413e+005 +3.893134713e+005 +3.893134713e+005 -2.7770e+000 -3.3258e+000 +1.3827e+000 +9.5727e-001 -9.8426e-001 -5.1426e-001 -2.7693e+000 +2.2445e+000 -3.6572e+000 -1.9519e+000 +1.5686e+000 -3.9988e+000 +3.7011e+000 +3.6481e+000 -4.0610e+000 -4.3574e+000 -3.9962e+000 -1.3765e+000 -9.3627e-001 -2.5310e+000
4 +1.635147315e+005 +1.635147315e+005 +1.636385615e+005 +1.636385615e+005 +1.5150e-001 +1.2798e+000 +1.3663e+000 +2.7009e-001 -3.5135e+000 +3.9067e-001 -4.2059e+000 -4.9975e-001 -8.6304e-001 -4.9947e+000 -4.1677e-001 +4.0927e+000 -1.0511e+000 +4.5279e+000 +1.9464e+000 +4.4285e-001 -7.7975e-001 +1.4891e+000 +1.9494e+000 -2.0313e+000
5 +7.784090674e+004 +7.784090674e+004 +7.796473674e+004 +7.796473674e+004 -2.7954e+000 -1.8152e-001 +5.1440e-001 -9.5880e-001 -1.0914e+000 -1.1784e+000 +3.5923e+000 -4.7051e-001 -1.8341e-001 +1.1989e+000 -4.7222e+000 -1.3844e+000 +4.4919e+000 +1.9804e+000 +3.7062e+000 -4.1497e+000 +8.5662e-001 -2.7590e+000 -1.4962e-002 -2.0250e+000
149 +4.183792761e+004 +4.183792761e+004 +4.196175761e+004 +4.196175761e+004 +6.0844e-001 +2.4479e+000 +1.3027e+000 +6.0040e-001 +1.5830e+000 -1.4921e+000 +1.4417e+000 -2.8414e+000 -6.8346e-001 +3.5211e+000 -5.5179e+000 -4.1192e+000 -3.2308e+000 -2.6976e-002 +1.8300e+000 -9.1204e+000 -4.2657e+000 +7.3144e-001 +3.1811e+000 -1.1627e+000
150 +6.723254029e+003 +6.723254029e+003 +6.847084029e+003 +6.847084029e+003 -1.2947e+000 +4.1986e+000 +1.0825e+000 +1.6812e+000 +9.8043e-001 +1.8819e+000 +1.2037e+000 -2.4041e+000 -2.2622e+000 +2.9512e+000 -3.3547e+000 -5.7443e+000 -3.2587e+000 +9.1861e-001 +2.4020e+000 -7.3449e+000 -7.3859e-002 +2.0508e+000 -4.1569e-002 -2.5052e+000
152 +5.912522636e+003 +5.912522636e+003 +6.036352636e+003 +6.036352636e+003 -1.4667e+000 +4.3568e+000 +1.0626e+000 +1.7789e+000 +9.2597e-001 +2.1868e+000 +1.1822e+000 -2.3646e+000 -2.4049e+000 +2.8998e+000 -3.1593e+000 -5.8912e+000 -3.2613e+000 +1.0041e+000 +2.4536e+000 -7.1844e+000 +3.0495e-001 +2.1700e+000 -3.3279e-001 -2.6265e+000
216 +3.473495479e+003 +3.473495479e+003 +3.597325479e+003 +3.597325479e+003 -1.7252e+000 +3.9044e+000 +7.1675e-001 +1.9476e+000 +1.5651e+000 +2.2097e+000 +8.5559e-001 -2.1638e+000 -2.7419e+000 +2.6754e+000 -2.9093e+000 -6.0347e+000 -3.9861e+000 +1.3625e+000 +2.3686e+000 -6.6690e+000 +6.5900e-001 +2.6008e+000 -4.5293e-001 -3.0591e+000
217 +2.310911200e+003 +2.310911200e+003 +2.434741200e+003 +2.434741200e+003 -1.7027e+000 +4.1789e+000 +8.5445e-001 +1.9255e+000 +1.2639e+000 +2.3561e+000 +9.8424e-001 -2.2294e+000 -2.6709e+000 +2.7450e+000 -2.9161e+000 -6.0485e+000 -3.6774e+000 +1.2530e+000 +2.4315e+000 -6.8073e+000 +7.0165e-001 +2.4777e+000 -5.5074e-001 -2.9362e+000
278 +1.117720991e+003 +1.117720991e+003 +1.241550991e+003 +1.241550991e+003 -1.6355e+000 +3.9026e+000 +2.9488e-001 +1.5012e+000 +1.8103e+000 +2.2284e+000 +8.9970e-001 -1.9705e+000 -3.7664e+000 +2.7248e+000 -3.1310e+000 -5.7580e+000 -3.4509e+000 +1.1824e+000 +2.2235e+000 -6.3429e+000 +2.7064e-001 +2.3353e+000 -6.7283e-001 -3.5900e+000
279 +8.241169897e+002 +8.241169897e+002 +9.479469897e+002 +9.479469897e+002 -1.6620e+000 +3.9864e+000 +4.9351e-001 +1.6606e+000 +1.6279e+000 +2.2658e+000 +9.2223e-001 -2.0623e+000 -3.3637e+000 +2.7275e+000 -3.0506e+000 -5.8651e+000 -3.5565e+000 +1.2163e+000 +2.2965e+000 -6.5061e+000 +4.2803e-001 +2.3968e+000 -6.2063e-001 -3.3553e+000
1607 +4.343479422e+002 +4.343479422e+002 +5.581779422e+002 +5.581779422e+002 +4.4792e-002 +9.3731e-001 +1.0044e+000 +9.1148e-002 +2.8820e-001 +4.6097e-001 +6.3485e-001 +1.2251e-001 +4.1604e-001 -6.6347e-001 -1.9607e-001 -5.6931e-001 -1.2428e+000 -2.6856e-001 +6.8641e-001 -4.0324e-001 -1.8087e-001 +2.7057e-001 +3.4037e-001 +3.1035e-001
