% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.895029340e+004 +2.895029340e+004 +2.907412340e+004 +2.907412340e+004 -1.7817e+000 -4.9784e+000 -4.8175e-001 -1.6471e+000 +2.9011e+000
2 +6.947731193e+003 +6.947731193e+003 +7.071561193e+003 +7.071561193e+003 -2.9201e-001 -1.8997e+000 -1.2036e+000 +2.8322e+000 +2.3226e-002
5 +5.168128654e+003 +5.168128654e+003 +5.291958654e+003 +5.291958654e+003 +3.9221e+000 -1.3375e+000 -2.1598e+000 -1.8013e+000 +4.2749e+000
40 +1.962396786e+003 +1.962396786e+003 +2.086226786e+003 +2.086226786e+003 +1.8037e+000 +4.7028e-001 -2.3561e+000 +5.5993e-001 +2.3725e+000
43 +1.216921196e+003 +1.216921196e+003 +1.340751196e+003 +1.340751196e+003 +1.3799e+000 +4.5233e-002 -2.6573e+000 +4.6881e-001 +2.4461e+000
74 +3.179685580e+002 +3.179685580e+002 +4.417985580e+002 +4.417985580e+002 +3.8378e-001 +3.7559e-001 -1.8776e+000 -4.7352e-001 +2.5928e+000
104 +1.250932572e+002 +1.250932572e+002 +2.489232572e+002 +2.489232572e+002 -2.0520e-001 -7.7652e-001 -3.4235e-001 +6.4991e-001 +2.1385e-001
138 +9.888195699e+001 +9.888195699e+001 +2.227119570e+002 +2.227119570e+002 -1.9804e-001 -6.9171e-001 -4.5851e-001 +5.8350e-001 +1.8630e-001
191 +4.094831671e+001 +4.094831671e+001 +1.647783167e+002 +1.647783167e+002 -7.5472e-001 +1.2889e-002 -8.4880e-001 +1.0534e+000 -1.8590e-002
391 +3.977700545e+001 +3.977700545e+001 +1.636070054e+002 +1.636070054e+002 +3.3912e-001 +6.6299e-001 -5.4126e-001 +1.0158e-001 -4.7354e-001
808 +2.196900281e+001 +2.196900281e+001 +1.457990028e+002 +1.457990028e+002 +1.3550e+000 -3.5517e+000 -5.2149e-001 -1.3272e+000 +2.4335e+000
